1:Автономна Республіка Крим:26
2:Вінницька область:2
3:Волинська область:3
4:Дніпропетровська область:4
5:Донецька область:5
6:Житомирська область:6
7:Закарпатська область:7
8:Запорізька область:8
9:Івано-Франківська область:9
10:Київська область:10
11:Кіровоградська область:11
12:Луганська область:12
13:Львівська область:13
14:Миколаївська область:14
15:Одеська область:15
16:Полтавська область:16
17:Рівненська область:17
18:Сумська область:18
19:Тернопільська область:19
20:Харківська область:20
21:Херсонська область:21
22:Хмельницька область:22
23:Черкаська область:23
24:Чернівецька область:24
25:Чернігівська область:25
26:Київ (місто):1
27:Севастополь (місто):27
